"ansNames"	"Dif"	"Pcorr"	"Acorr"	"D"	"D.E"
"1"	"Q3A"	0.06	0.28	0.22	0.154	0.802
"2"	"Q3B"	0.22	0.33	0.25	0.308	0.728
"3"	"Q3C"	0.12	0.14	0.14	0.115	0.599
"4"	"Q3D"	0.42	0.57	0.56	0.692	0.856
"5"	"Q3E"	0.04	0.13	0.16	-0.923	-11.987
"6"	"Q4A"	0.05	0.34	0.29	-0.846	-5.494
"7"	"Q4B"	0.06	0.28	0.26	0.154	0.802
"8"	"Q4C"	0.03	0.05	0	0	0
"9"	"Q4D"	0.11	0.28	0.35	-0.769	-3.329
"10"	"Q4E"	0.31	0.44	0.41	0.5	0.813
"11"	"Q5A"	0.07	0.2	0.18	-0.846	-5.494
"12"	"Q5B"	0.46	0.22	0.27	0.308	0.534
"13"	"Q5C"	0.18	0.21	0.17	0.192	0.623
"14"	"Q6A"	0.05	0.26	0.21	-0.846	-5.494
"15"	"Q6B"	0.28	-0.08	-0.13	-0.154	-1
"16"	"Q6C"	0.57	0.03	0.04	0	0
"17"	"Q7A"	0.38	0.25	0.2	0.192	0.555
"18"	"Q7B"	0.42	0.28	0.22	0.269	0.5
"19"	"Q7C"	0.49	0.07	0.06	0.077	0.182
"20"	"Q7D"	0.51	0.36	0.31	0.423	0.55
"21"	"Q8A"	0.01	0.16	0.12	-0.962	-25.316
"22"	"Q8B"	0.12	0.3	0.3	0.231	0.859
"23"	"Q8C"	0.12	0.09	0.11	0.077	0.5
"24"	"Q8D"	0.27	0.26	0.28	0.231	0.6
"25"	"Q9A"	0.08	0.27	0.23	0.192	0.831
"26"	"Q9B"	0.08	0.24	0.27	0.192	0.831
"27"	"Q9C"	0.22	0.48	0.46	0.423	0.916
"28"	"Q9D"	0.25	0.2	0.22	0.231	0.668
"29"	"Q10A"	0.24	0.18	0.17	0.115	0.428
"30"	"Q10B"	0.16	0.36	0.34	-0.654	-1.89
"31"	"Q10C"	0.32	0.37	0.34	0.462	0.801
"32"	"Q10D"	0.34	0.22	0.2	0.269	0.636
"33"	"Q11A"	0.04	0.22	0.17	-0.885	-7.696
"34"	"Q11B"	0.2	0.34	0.37	-0.615	-1.597
"35"	"Q11C"	0.59	0.13	0.17	0.038	0.071
"36"	"Q11D"	0.02	0.25	0.26	-0.923	-11.987
"37"	"Q12A"	0.23	0.28	0.28	0.308	0.728
"38"	"Q12B"	0.17	0.36	0.29	0.385	0.91
"39"	"Q12C"	0.21	0.38	0.35	-0.615	-1.597
"40"	"Q13A"	0.08	0.42	0.37	-0.692	-2.247
"41"	"Q13B"	0.05	0.3	0.3	-0.808	-4.208
"42"	"Q13C"	0.12	0.19	0.29	0.192	0.831
"43"	"Q13D"	0.32	0.41	0.47	0.5	0.867
"44"	"Q14A"	0.34	0.37	0.32	0.423	0.846
"45"	"Q14B"	0.09	0.43	0.47	-0.654	-1.89
"46"	"Q14C"	0.57	0.05	0.04	-0.038	-0.09
"47"	"Q14D"	0.04	-0.08	-0.09	0.962	0.962
"48"	"Q14E"	0.26	0.16	0.12	0.154	0.667
"49"	"Q15A"	0.04	0.11	0.11	0.038	0.494
"50"	"Q15B"	0.52	0.14	0.07	0.115	0.199
"51"	"Q15C"	0.62	0.25	0.22	0.231	0.334
"52"	"Q15D"	0.71	0.03	0	-0.115	-0.187
"53"	"Q15E"	0.14	0.15	0.16	0.077	0.67
"54"	"Q16A"	0.14	0.18	0.12	0.115	0.498
"55"	"Q16B"	0.38	0.26	0.24	0.308	0.728
"56"	"Q16C"	0.16	0.37	0.36	0.346	0.899
"57"	"Q16D"	0.17	0.21	0.2	0.115	0.747
"58"	"Q17A"	0.41	0.42	0.46	0.577	0.882
"59"	"Q17B"	0.12	0.24	0.2	0.154	0.667
"60"	"Q17C"	0.12	0.3	0.31	0.192	0.831
"61"	"Q17D"	0.21	0.52	0.49	-0.5	-1
"62"	"Q18A"	0.19	0.19	0.2	0.192	0.831
"63"	"Q18B"	0.24	0.26	0.26	0.308	0.89
"64"	"Q18C"	0.23	0.31	0.34	0.346	0.818
"65"	"Q18D"	0.07	0.08	0.07	0.077	0.67
"66"	"Q19A"	0.34	0.21	0.23	0.269	0.582
"67"	"Q19B"	0.06	0.25	0.22	-0.808	-4.208
"68"	"Q19C"	0.32	0.33	0.3	0.346	0.692
"69"	"Q19D"	0.25	0.44	0.39	-0.5	-1
"70"	"Q19E"	0.15	0.02	0	0.038	0.198
"71"	"Q20A"	0.01	-0.08	-0.04	0.962	0.962
"72"	"Q20B"	0.32	0.56	0.57	-0.346	-0.529
"73"	"Q20C"	0.11	0.31	0.34	-0.769	-3.329
"74"	"Q20D"	0.23	0.39	0.41	-0.577	-1.364
"75"	"Q21A"	0.29	0.62	0.59	-0.308	-0.445
"76"	"Q21B"	0.15	0.34	0.34	-0.692	-2.247
"77"	"Q21C"	0.28	0.36	0.41	0.423	0.916
"78"	"Q22A"	0.17	0.31	0.26	0.346	0.899
"79"	"Q22B"	0.46	0.32	0.32	0.346	0.529
"80"	"Q22C"	0.26	0.23	0.21	0.192	0.454
